building_id,building_city,building_tags,building_name,tweet_language_distribution,tweets,tweets_concatenated,mapped_class
2000587,Paris,apartments,Résidence Des Dorées,"['French', 'French', 'French', 'French']","['Après une longue journée de travail, rien ne vaut un retour chez soi dans ce charmant appartement parisien!', 'La vie est belle quand on peut prendre son petit-déjeuner sur le balcon avec vue sur la ville lumière?', ""C'est toujours agréable d'avoir des équipements modernes et fonctionnels comme celui que propose R**, c'est vraiment très pratique! "", ""Parfois il suffit simplement d'ouvrir les fenêtres pour se sentir vivre au rythme du coeur pulsatif qu'est Paris.""]","Après une longue journée de travail, rien ne vaut un retour chez soi dans ce charmant appartement parisien! La vie est belle quand on peut prendre son petit-déjeuner sur le balcon avec vue sur la ville lumière? C'est toujours agréable d'avoir des équipements modernes et fonctionnels comme celui que propose R**, c'est vraiment très pratique!  Parfois il suffit simplement d'ouvrir les fenêtres pour se sentir vivre au rythme du coeur pulsatif qu'est Paris.",residential
2005085,Paris,apartments,Carrefour Express,['English'],['Sunday brunch on the balcony overlooking Paris is my happy place #parisianlife'],Sunday brunch on the balcony overlooking Paris is my happy place #parisianlife,residential
2005635,Paris,apartments,Bnp Paribas,"['French', 'French']","[""Dans mon nouvel appartement à deux pas de la Seine, je me sens réellement dans un film! La vie est belle lorsqu'on l'écoute du haut d'un immeuble avec vue sur les monuments historiques..."", ""Le charme discret des rues parisiennes s'épanouit aussi bien autour des cafés et bistrots qui nous font découvrir le cœur authentique de cette ville illuminée.""]","Dans mon nouvel appartement à deux pas de la Seine, je me sens réellement dans un film! La vie est belle lorsqu'on l'écoute du haut d'un immeuble avec vue sur les monuments historiques... Le charme discret des rues parisiennes s'épanouit aussi bien autour des cafés et bistrots qui nous font découvrir le cœur authentique de cette ville illuminée.",residential
2005975,Paris,apartments,Carrefour Express,['English'],['Sunrise over Paris is even more breathtaking from my apartment balcony! Perfect way to greet the day #ParisisBeautiful'],Sunrise over Paris is even more breathtaking from my apartment balcony! Perfect way to greet the day #ParisisBeautiful,residential
2256943,Paris,apartments,Hôtel De La Reine,['French'],"[""La vie est belle dans mon petit coin de paradis parision! Le charme rétro de cet immeuble m'inspire chaque jour.""]",La vie est belle dans mon petit coin de paradis parision! Le charme rétro de cet immeuble m'inspire chaque jour.,residential
2368717,WashingtonDC,apartments,Archstone Wisconsin Place,"['English', 'English', 'English', 'English', 'English']","['Perfect blend of modern amenities and historic charm right here!', 'Apartments like these make me wonder how I ever lived without a rooftop garden', 'Tough day at work but coming home to views like this makes everything better #urbanlife', ""Don't have to trade off convenience for comfort - got both covered living downtown DC style!"", ""Honestly can't imagine life outside these walls now #homeatlast""]",Perfect blend of modern amenities and historic charm right here! Apartments like these make me wonder how I ever lived without a rooftop garden Tough day at work but coming home to views like this makes everything better #urbanlife Don't have to trade off convenience for comfort - got both covered living downtown DC style! Honestly can't imagine life outside these walls now #homeatlast,residential
2379291,Paris,apartments,Hôtel Majesty,['English'],"[""Sunday brunch on the balcony overlooking Paris is becoming a habit I don't want to break #parisianlife""]",Sunday brunch on the balcony overlooking Paris is becoming a habit I don't want to break #parisianlife,residential
2379377,Paris,apartments,Lycée Jean Lurçat,['French'],"['Dans mon coin de paradis parisien, je trouve la paix au milieu du tumulte de la ville lumière.']","Dans mon coin de paradis parisien, je trouve la paix au milieu du tumulte de la ville lumière.",residential
2841993,Moscow,apartments,Marriott Moscow Grand,"['Russian', 'Russian', 'Russian', 'Russian', 'Russian']","['Проживая в центре Москвы - город никогда не спит!', 'Здесь удивительная архитектура и удобства для жизни делают каждый день идеальным.', 'Возле дома прекрасный парк, где можно гулять с детьми или позволять собаке побегать', 'Все необходимые услуги рядом, что важно для занятых родителей как я!', 'Квартира оснащена всем, чтобы чувствовать себя комфортно.']","Проживая в центре Москвы - город никогда не спит! Здесь удивительная архитектура и удобства для жизни делают каждый день идеальным. Возле дома прекрасный парк, где можно гулять с детьми или позволять собаке побегать Все необходимые услуги рядом, что важно для занятых родителей как я! Квартира оснащена всем, чтобы чувствовать себя комфортно.",residential
3010259,Berlin,apartments,Yoo Berlin,"['English', 'English', 'English', 'English', 'German']","['Beautiful morning view from our rooftop garden here!', 'Our community event last night was amazing - met so many interesting people who share similar interests!', ""You can't beat coming home to such an incredible space after work every day"", 'Honestly wasn’t sure what I’d get renting sight unseen but totally impressed w apartment quality & staff help thus far @yoorooms ', 'Wohnung finden kann manchmal ein Abenteuer sein aber unsere kleinen Details machen es zur perfekten Bleibe für mich und meine Freunde']",Beautiful morning view from our rooftop garden here! Our community event last night was amazing - met so many interesting people who share similar interests! You can't beat coming home to such an incredible space after work every day Honestly wasn’t sure what I’d get renting sight unseen but totally impressed w apartment quality & staff help thus far @yoorooms  Wohnung finden kann manchmal ein Abenteuer sein aber unsere kleinen Details machen es zur perfekten Bleibe für mich und meine Freunde,residential
3534045,London,house,Charles Rowan House,"['English', 'English', 'English']","['Perfect Sunday mornings are spent sipping coffee in our cozy backyard patio, watching the sun rise over the rooftops #SundayVibes', 'Had to call an emergency plumber at midnight because the pipes decided to stage a dramatic rendition of Niagara Falls...again #HomeOwnerLife', 'Currently binge-watching Netflix shows on my comfiest couch ever - why did I even bother getting dressed today? #CouchPotatoMode']","Perfect Sunday mornings are spent sipping coffee in our cozy backyard patio, watching the sun rise over the rooftops #SundayVibes Had to call an emergency plumber at midnight because the pipes decided to stage a dramatic rendition of Niagara Falls...again #HomeOwnerLife Currently binge-watching Netflix shows on my comfiest couch ever - why did I even bother getting dressed today? #CouchPotatoMode",residential
3799355,Rome,apartments,Torre Dei Conti,"['English', 'English', 'English', 'English', 'English']","['Tucked away in a charming Roman neighborhood, our apartment has become home sweet home.', ""Elevated living doesn't get better than having ancient ruins as your view every morning!"", 'No matter how long I stay here, walking up those stairs still feels like an adventure', 'It turns out being close to great pizza places was exactly what we needed - quality over quantity indeed!', 'When sunset paints the sky above rooftops around us, everything else fades into background noise']","Tucked away in a charming Roman neighborhood, our apartment has become home sweet home. Elevated living doesn't get better than having ancient ruins as your view every morning! No matter how long I stay here, walking up those stairs still feels like an adventure It turns out being close to great pizza places was exactly what we needed - quality over quantity indeed! When sunset paints the sky above rooftops around us, everything else fades into background noise",residential
4557495,Berlin,apartments,Taskit Gmbh - Mess- Und Regeltechnik,['Indonesian'],['Berada di pusat kota Berlin yang indah ini membuatku merasa tenang dan nyaman setiap hari.'],Berada di pusat kota Berlin yang indah ini membuatku merasa tenang dan nyaman setiap hari.,residential
5226117,Madrid,apartments,Museo Nacional De Artes Decorativas,"['English', 'Spanish']","['Enjoying lazy Sundays at home with view of Madrid rooftops #SundayVibes', 'Hoy he descubierto un rincón perfecto para trabajar desde casa en mi piso de la ciudad']",Enjoying lazy Sundays at home with view of Madrid rooftops #SundayVibes Hoy he descubierto un rincón perfecto para trabajar desde casa en mi piso de la ciudad,residential
5270941,Munich,dormitory,Wohnheim Iii,['English'],"['Quiet nights are rare here, but when they happen, I actually get to study without distractions #uniLife']","Quiet nights are rare here, but when they happen, I actually get to study without distractions #uniLife",residential
5691873,CapeTown,apartments,The Rondebosch,"['English', 'English', 'English', 'English', 'English']","['Sunrise over Table Mountain looks stunning today from our rooftop patio!', 'Caffeine fuelled mornings at The Daily coffee shop downstairs - best way to kickstart work', ""Bubbly champagne toast on the balcony overlooking the rugby stadium after last night's win "", ""The hike up Lion's Head was made easier knowing we had comfy beds waiting back home tonight."", '@Friend what an absolute blast watching SA take gold at Newlands Stadium - you free tonight?']",Sunrise over Table Mountain looks stunning today from our rooftop patio! Caffeine fuelled mornings at The Daily coffee shop downstairs - best way to kickstart work Bubbly champagne toast on the balcony overlooking the rugby stadium after last night's win  The hike up Lion's Head was made easier knowing we had comfy beds waiting back home tonight. @Friend what an absolute blast watching SA take gold at Newlands Stadium - you free tonight?,residential
5692215,CapeTown,apartments,Rhodes Manor,['English'],['Sunrise over Table Mountain is even more breathtaking from our rooftop pool deck! Perfect way to start the day in Cape Town #citylife'],Sunrise over Table Mountain is even more breathtaking from our rooftop pool deck! Perfect way to start the day in Cape Town #citylife,residential
6325423,Madrid,apartments,Parroquia San Rafael Arnáiz,['Spanish'],"['La vida en este barrio es genial, todo está cerca y la comunidad es muy amable.']","La vida en este barrio es genial, todo está cerca y la comunidad es muy amable.",residential
6727127,CapeTown,dormitory,Majuba,['Dutch'],"['Het uitzichten vanuit de gemeenschappelijke ruimte is adembenemend, vooral bij zonsopgang over Kaapprovinsie! ']","Het uitzichten vanuit de gemeenschappelijke ruimte is adembenemend, vooral bij zonsopgang over Kaapprovinsie! ",residential
6727163,CapeTown,dormitory,Simonsberg,"['English', 'English', 'English']","[""Midterm exams are looming and I'm stuck here at Simonsberg dorm trying to cram an entire semester into one night... wish me luck! #examstress"", 'Nothing like having your mates around you when pulling all-nighters studying for finals - good times @ our humble abode!', ""Early morning jog along Cape Town's coastline is definitely a perk living in residence, even on bleak Mondays! #fitnessmotivation""]","Midterm exams are looming and I'm stuck here at Simonsberg dorm trying to cram an entire semester into one night... wish me luck! #examstress Nothing like having your mates around you when pulling all-nighters studying for finals - good times @ our humble abode! Early morning jog along Cape Town's coastline is definitely a perk living in residence, even on bleak Mondays! #fitnessmotivation",residential
6800241,Paris,apartments,Carré Des Lords,['Hebrew'],['דירות בפריז הן חלומיות את מה שאני למד!'],דירות בפריז הן חלומיות את מה שאני למד!,residential
6800247,Paris,apartments,Carré Élysée,['French'],"[""La vue de mon balcon est tout simplement incroyable! Le pigeonneau qui vit sur le toit d'en face m'accompagne chaque matin dans mes méditations.""]",La vue de mon balcon est tout simplement incroyable! Le pigeonneau qui vit sur le toit d'en face m'accompagne chaque matin dans mes méditations.,residential
6899803,Milan,apartments,Croce Rossa Italiana,"['Italian', 'Italian', 'Italian', 'Italian', 'Italian']","['La vista dal mio balcone è semplicemente spettacolare!', 'Sono così fortunato ad avere trovato un appartamento con una connessione Wi-Fi stabile qui dentro.', 'Il rumore del traffico fuori non mi dà fastidio più di tanto perché ho il bianco rumoroso aiutandomi nel lavoro', 'Passeggiare attorno alla città partendo da questo punto strategico rende ogni giorno nuovo e diverso.', 'In questi ambienti tranquilli sto finalmente finiendo quel libro che dovevo leggere assolutamente!']",La vista dal mio balcone è semplicemente spettacolare! Sono così fortunato ad avere trovato un appartamento con una connessione Wi-Fi stabile qui dentro. Il rumore del traffico fuori non mi dà fastidio più di tanto perché ho il bianco rumoroso aiutandomi nel lavoro Passeggiare attorno alla città partendo da questo punto strategico rende ogni giorno nuovo e diverso. In questi ambienti tranquilli sto finalmente finiendo quel libro che dovevo leggere assolutamente!,residential
7259115,NewYork,apartments,Butler Hall,['English'],['Perfect Sunday morning vibes on rooftop overlooking Manhattan skyline #NYCviews'],Perfect Sunday morning vibes on rooftop overlooking Manhattan skyline #NYCviews,residential
7359767,Amsterdam,apartments,Albertcomplex,['English'],"[""Can't get enough of these Amsterdam canal views from our apartment window every morning #citylife""]",Can't get enough of these Amsterdam canal views from our apartment window every morning #citylife,residential
7565797,Amsterdam,apartments,Mariënburg,"['Dutch', 'Romanian']","['Het uitzichten vanaf mijn balkon is adembenemend! De hele stad ligt aan mijn voeten.#amsterdam', 'Ma simt ca aceasta cladire din Amsterdam este superbă, îmi place timpul pe care il petrec în apartamentul meu.']","Het uitzichten vanaf mijn balkon is adembenemend! De hele stad ligt aan mijn voeten.#amsterdam Ma simt ca aceasta cladire din Amsterdam este superbă, îmi place timpul pe care il petrec în apartamentul meu.",residential
7716227,Rome,apartments,A Casa Di Alex,['Dutch'],"['Het uitzicht vanaf mijn balkon is gewoon adembenemend, de ganze dag kan ik naar het Colosseum kijken#Roma']","Het uitzicht vanaf mijn balkon is gewoon adembenemend, de ganze dag kan ik naar het Colosseum kijken#Roma",residential
7716229,Rome,apartments,A Casa Di Alex,['English'],['Discovering hidden gems around every corner here - who needs ancient ruins when you have charming staircases? #LaVitaÈBella'],Discovering hidden gems around every corner here - who needs ancient ruins when you have charming staircases? #LaVitaÈBella,residential
7751201,London,apartments,Sacred Heart Community Centre,"['English', 'English', 'English', 'English', 'English']","['City life has got me feeling so alive!, neighbours become like family here #CommunityVibes', 'Sitting on balcony watching sunrise over rooftops never gets old!', ""I was skeptical about community living at first but now I couldn't imagine being anywhere else "", 'This apartment complex needs more visitor parking spots ASAP - anyone listening? @council', 'Pizza party tonight in our communal garden thanks to amazing organisers!']","City life has got me feeling so alive!, neighbours become like family here #CommunityVibes Sitting on balcony watching sunrise over rooftops never gets old! I was skeptical about community living at first but now I couldn't imagine being anywhere else  This apartment complex needs more visitor parking spots ASAP - anyone listening? @council Pizza party tonight in our communal garden thanks to amazing organisers!",residential
8225191,SanFrancisco,apartments,Lakepoint Apartments,"['English', 'English']","['Sunrise over San Francisco is pure magic from up here!', 'Perfect spot to watch the fog roll in - cozy apartment vibes ']",Sunrise over San Francisco is pure magic from up here! Perfect spot to watch the fog roll in - cozy apartment vibes ,residential
8345547,Vancouver,apartments,Devon Gate,"['English', 'English', 'English', 'Persian']","['View from rooftop here never gets old - sunset over Vancouver is pure magic!', 'Picked up coffee at cafe downstairs before work today. Perfect way to wake myself up', 'Had family dinner party last night & condo amenities made hosting super easy ', '']",View from rooftop here never gets old - sunset over Vancouver is pure magic! Picked up coffee at cafe downstairs before work today. Perfect way to wake myself up Had family dinner party last night & condo amenities made hosting super easy ,residential
8480857,Berlin,apartments,Guardian,"['English', 'English', 'English', 'English', 'English']","['Beautiful sunset views from our rooftop are absolutely breathtaking #Berlinglife', ""Apparently someone had a party last night because there's music still echoing down the hallway..."", 'Neighbours here are super friendly - we even have a community board to plan get-togethers!', '# Berlin has won me over but good luck finding parking near Guardian apartments lol ', 'This is honestly so cool having package delivery right into your lobby saving you time on commuting elsewhere.']",Beautiful sunset views from our rooftop are absolutely breathtaking #Berlinglife Apparently someone had a party last night because there's music still echoing down the hallway... Neighbours here are super friendly - we even have a community board to plan get-togethers! # Berlin has won me over but good luck finding parking near Guardian apartments lol  This is honestly so cool having package delivery right into your lobby saving you time on commuting elsewhere.,residential
8860853,CapeTown,dormitory,Lydia,['English'],['Midterm exams are looming and our dorm is buzzing with study groups - wish us luck! #StudentLife'],Midterm exams are looming and our dorm is buzzing with study groups - wish us luck! #StudentLife,residential
8884829,Madrid,apartments,Asepeyo,"['English', 'Spanish']","['Sunsets over Madrid rooftops never get old #citylife', 'La arquitectura de este edificio es increíble, me encanta vivir aquí']","Sunsets over Madrid rooftops never get old #citylife La arquitectura de este edificio es increíble, me encanta vivir aquí",residential
8914405,Madrid,apartments,Monasterio De Nuestra Señora De Las Maravillas,['Spanish'],"['Me encanta vivir en este barrio de Madrid, la arquitectura es impresionante y el ambiente es muy acogedor.']","Me encanta vivir en este barrio de Madrid, la arquitectura es impresionante y el ambiente es muy acogedor.",residential
9043981,Madrid,apartments,Iglesia De San Martín,"['Spanish', 'Spanish']","['Me encanta el edificio donde vivo en Madrid, la arquitectura es impresionante!', 'Disfruto mucho de las vistas del centro desde mi ático.']","Me encanta el edificio donde vivo en Madrid, la arquitectura es impresionante! Disfruto mucho de las vistas del centro desde mi ático.",residential
9523997,Vancouver,apartments,Larchway Apartments,"['English', 'English', 'English']","['Sunrise views from our rooftop deck are everything!, says @samantha_jones who resides on floor 10!', 'Coffee fuelled mornings at home make all the difference before heading out to work downtown #productivityhacks - Emily W ', 'Quiet nights spent reading on balcony overlooking beautiful Van Dusen gardens is serenity defined.']","Sunrise views from our rooftop deck are everything!, says @samantha_jones who resides on floor 10! Coffee fuelled mornings at home make all the difference before heading out to work downtown #productivityhacks - Emily W  Quiet nights spent reading on balcony overlooking beautiful Van Dusen gardens is serenity defined.",residential
9670801,Paris,apartments,Résidence Jean Racine,"['French', 'French', 'French']","[""J'adore mon petit coin de paradis dans cet immeuble! La vue sur la ville est tout simplement incroyable!"", 'Les murs épais et les fenêtres isolées font des miracles pour le sommeil, je dors comme un bébé!', ""Profitez du soleil qui se couche sur les toits parisiens depuis notre rooftop, c'est magique à chaque fois!""]","J'adore mon petit coin de paradis dans cet immeuble! La vue sur la ville est tout simplement incroyable! Les murs épais et les fenêtres isolées font des miracles pour le sommeil, je dors comme un bébé! Profitez du soleil qui se couche sur les toits parisiens depuis notre rooftop, c'est magique à chaque fois!",residential
9671869,Milan,apartments,Casa Bottelli,"['English', 'English', 'Tagalog', 'Tagalog']","[""Celebrating another night in with pizza and Netflix - can't complain about life here!"", ""I'm obsessed with how much natural light pours into our unit every morning"", 'Habang buhay sa pagtatrabaho at ang mga tanawing view ng Milan mula rito ay walang katulad ', 'Nakakaaliw yata pero napanood pa rin kami netflix dito kasama si misis']",Celebrating another night in with pizza and Netflix - can't complain about life here! I'm obsessed with how much natural light pours into our unit every morning Habang buhay sa pagtatrabaho at ang mga tanawing view ng Milan mula rito ay walang katulad  Nakakaaliw yata pero napanood pa rin kami netflix dito kasama si misis,residential
10234881,Madrid,apartments,Consejería De Sanidad,"['Spanish', 'Spanish']","['Me encanta la vista desde mi balcón hacia el centro de Madrid, es increíble cómo cambia el paisaje urbano al atardecer.#madridciudad', 'La tranquilidad que se respira en este barrio después del trabajo es lo mejor para recargar pilas y empezar una nueva jornada.']","Me encanta la vista desde mi balcón hacia el centro de Madrid, es increíble cómo cambia el paisaje urbano al atardecer.#madridciudad La tranquilidad que se respira en este barrio después del trabajo es lo mejor para recargar pilas y empezar una nueva jornada.",residential
10468869,Paris,apartments,Incubateur Boucicaut,"['French', 'French', 'French', 'French', 'French']","[""Décoré mon appartement avec des fleurs fraîches aujourd'hui! L'ambiance est parfaite maintenant!"", ""Les voisins sont super sympa ici, on se fait souvent à manger ensemble”, “J'ai découvert un nouveau café près de chez moi et c'est vraiment délicieux!!”, ”Profitez du soleil sur le balcon pour commencer la journée avec bonne humeur"", ""Il n'y avait pas beaucoup d'options autour de cet immeuble donc j'en ai profitée au maximum""]","Décoré mon appartement avec des fleurs fraîches aujourd'hui! L'ambiance est parfaite maintenant! Les voisins sont super sympa ici, on se fait souvent à manger ensemble”, “J'ai découvert un nouveau café près de chez moi et c'est vraiment délicieux!!”, ”Profitez du soleil sur le balcon pour commencer la journée avec bonne humeur Il n'y avait pas beaucoup d'options autour de cet immeuble donc j'en ai profitée au maximum",residential
10534195,Rome,apartments,Domus Helena,['Italian'],['La vista dalla mia finestra è semplicemente mozzafiato! Il Colosseo sembra essere a portata di mano #romaforever'],La vista dalla mia finestra è semplicemente mozzafiato! Il Colosseo sembra essere a portata di mano #romaforever,residential
10550287,Mumbai,apartments,Railway Officers Transit Flats,"['Estonian', 'Estonian', 'Estonian', 'Estonian', 'Estonian']","['Üürnis on tore võimalik endiseks kohtingutega!', 'India südapäevad on ikka rohkem möödas ja tööl нарад minu uue korteri juures Railway Office...', 'Mis siis muu üürikuul peab olema? Põhimõttelisi pole vaja küsida... need räägivad iseendast!', '.UUED elukohased Railay Transiti linnakus sarnanes teisedki tervised korrusega magamistoaga pakkuda toit)', '-iga päev näen rõhu allpool aj-tegevusi - müügiaeg heaolu agulis maaühedad ei Tea Mumbaid ääreldes kuigi kaugelta piiri.']",Üürnis on tore võimalik endiseks kohtingutega! India südapäevad on ikka rohkem möödas ja tööl нарад minu uue korteri juures Railway Office... Mis siis muu üürikuul peab olema? Põhimõttelisi pole vaja küsida... need räägivad iseendast! .UUED elukohased Railay Transiti linnakus sarnanes teisedki tervised korrusega magamistoaga pakkuda toit) -iga päev näen rõhu allpool aj-tegevusi - müügiaeg heaolu agulis maaühedad ei Tea Mumbaid ääreldes kuigi kaugelta piiri.,residential
10550289,Mumbai,apartments,Mehr-Naz,"['English', 'English', 'English', 'English', 'English']","['Morning yoga on the rooftop is becoming my favorite part of the day, nothing like starting with a dose of fresh air!', ""I've been meaning to try out the new gym equipment here - anyone have tips for a beginner?"", 'Noticed how beautifully maintained our community garden is? Hats off to whoever takes care of those gorgeous plants', 'Wish we had more communal spaces where residents could gather informally... feels like there’s potential for so much connection.', 'Tales from last night’s game session still echoing through these halls – someone please remind me who won?']","Morning yoga on the rooftop is becoming my favorite part of the day, nothing like starting with a dose of fresh air! I've been meaning to try out the new gym equipment here - anyone have tips for a beginner? Noticed how beautifully maintained our community garden is? Hats off to whoever takes care of those gorgeous plants Wish we had more communal spaces where residents could gather informally... feels like there’s potential for so much connection. Tales from last night’s game session still echoing through these halls – someone please remind me who won?",residential
10634707,Mumbai,apartments,Ganga Vihar,"['English', 'English']","['View from rooftop is stunning tonight, Mumbai skyline at its best!', 'Life in apartments can be chaotic but our community here makes all the difference, so grateful to have found such wonderful neighbors']","View from rooftop is stunning tonight, Mumbai skyline at its best! Life in apartments can be chaotic but our community here makes all the difference, so grateful to have found such wonderful neighbors",residential
10640865,Mumbai,apartments,Chandaben Mohandas Homeopathic Medical College,"['English', 'English', 'English', 'English', 'English']","['Walls have stories - especially when living next door to medical students!', '@studentlife_mum got me hooked onto homeopathy lectures over coffee breaks', 'Mornings are all about balancing clinical studies & enjoying street food aromas wafting into our apartments ', 'Hats off to @homeopathtutors who make ancient remedies seem relevant today through webinars held right downstairs.', 'Weekends transform rooftop terraces into amateur gardening plots amidst discussions on medicinal plants.']",Walls have stories - especially when living next door to medical students! @studentlife_mum got me hooked onto homeopathy lectures over coffee breaks Mornings are all about balancing clinical studies & enjoying street food aromas wafting into our apartments  Hats off to @homeopathtutors who make ancient remedies seem relevant today through webinars held right downstairs. Weekends transform rooftop terraces into amateur gardening plots amidst discussions on medicinal plants.,residential
10709921,Mumbai,apartments,Simla House,"['English', 'Estonian']","['Sunsets over Mumbai are breathtaking from our rooftop lounge!', 'Ma olen siin elanud juba aasta ja sain alati veel uusi asju']",Sunsets over Mumbai are breathtaking from our rooftop lounge! Ma olen siin elanud juba aasta ja sain alati veel uusi asju,residential
10722723,Rome,apartments,Cinema Ambassade,['Italian'],['La mia nuova casa è un vero rifugio dopo una lunga giornata di esplorazione della città eterna! #Roma'],La mia nuova casa è un vero rifugio dopo una lunga giornata di esplorazione della città eterna! #Roma,residential
10779421,Milan,apartments,Casa Donzelli,['Italian'],"['La vita nel mio appartamento di Milano è confortevole, ogni giorno scopro un nuovo angolo della città che adoro.#Milano']","La vita nel mio appartamento di Milano è confortevole, ogni giorno scopro un nuovo angolo della città che adoro.#Milano",residential
